timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1758876638.417641 0.00086875 -0.00126424 -0.04188763 0.00025418 -0.00182243 0.00018627
1758876638.484239 0.00073358 -0.00127218 -0.04305971 0.00000984 -0.00177118 0.00004979
1758876638.550832 0.00083463 -0.00169575 -0.05847921 0.00016147 -0.00121605 0.00004616
1758876638.617422 -0.00101143 -0.00138999 -0.05283054 0.00016795 -0.00097917 0.00009179
1758876638.684009 -0.00215595 -0.00135547 -0.05137854 0.00015812 -0.00096909 0.00003863
1758876638.750592 -0.00300888 -0.00133290 -0.05052165 0.00013651 -0.00085894 0.00003144
1758876638.817171 -0.00348364 -0.00132976 -0.04993379 0.00011406 -0.00083538 0.00005051
1758876638.883747 -0.00439132 -0.00134814 -0.04921426 0.00010582 -0.00079743 0.00006846
1758876638.950503 -0.00537339 -0.00138768 -0.04899268 0.00010392 -0.00071641 0.00007084
1758876639.017261 -0.00637947 -0.00144859 -0.04877051 0.00003492 -0.00070139 0.00007761
1758876639.084020 -0.00782892 -0.00155317 -0.04853658 0.00002130 -0.00062300 0.00008657
1758876639.150781 -0.00941536 -0.00166971 -0.04821678 0.00004931 -0.00052784 0.00010725
1758876639.217544 -0.01098952 -0.00179632 -0.04800486 0.00004302 -0.00047175 0.00011241
1758876639.284308 -0.01258517 -0.00188463 -0.04771544 0.00004807 -0.00039219 0.00009269
1758876639.351074 -0.01433652 -0.00196667 -0.04727076 0.00003459 -0.00036263 0.00008991
1758876639.417840 -0.01553964 -0.00203364 -0.04717740 -0.00000572 -0.00036452 0.00008344
1758876639.484608 -0.01685701 -0.00210410 -0.04678645 -0.00004673 -0.00039148 0.00008508
1758876639.551378 -0.01811157 -0.00218364 -0.04681579 -0.00002227 -0.00038673 0.00008731
1758876639.618150 -0.01943476 -0.00226552 -0.04666264 -0.00004053 -0.00037255 0.00010437
1758876639.684923 -0.02089779 -0.00235009 -0.04623168 -0.00007738 -0.00038069 0.00007606
1758876639.751698 -0.02228459 -0.00243122 -0.04630390 -0.00003391 -0.00036381 0.00006423
1758876639.818474 -0.02365429 -0.00252588 -0.04639165 -0.00001591 -0.00032978 0.00009084
1758876639.885251 -0.02519824 -0.00261048 -0.04602540 -0.00002673 -0.00028959 0.00008247
1758876639.951914 -0.02651822 -0.00270073 -0.04623422 0.00001252 -0.00020038 0.00008341
1758876640.018576 -0.02875874 -0.00283996 -0.04601860 0.00003298 -0.00014300 0.00011064
1758876640.085238 -0.03134579 -0.00299738 -0.04570006 0.00001646 -0.00015515 0.00012253
1758876640.151898 -0.03365218 -0.00316575 -0.04594719 0.00001249 -0.00015790 0.00011738
1758876640.218558 -0.03673445 -0.00335265 -0.04605589 0.00005111 -0.00009538 0.00012663
1758876640.285217 -0.03934627 -0.00348327 -0.04584925 0.00007448 -0.00003635 0.00012119
1758876640.351876 -0.04199064 -0.00361879 -0.04580815 0.00004460 -0.00002158 0.00010704
1758876640.418534 -0.04484122 -0.00378544 -0.04572471 0.00002182 -0.00001380 0.00012028
1758876640.485191 -0.04737673 -0.00393798 -0.04590429 0.00002793 0.00002440 0.00011719
1758876640.551847 -0.05038228 -0.00406613 -0.04565262 0.00003634 0.00005754 0.00010100
1758876640.618503 -0.05216055 -0.00417304 -0.04589015 0.00004156 0.00006686 0.00008677
1758876640.685158 -0.05481459 -0.00429783 -0.04591389 0.00004446 0.00010769 0.00008400
1758876640.751812 -0.05765944 -0.00440843 -0.04584560 0.00005595 0.00014267 0.00008164
1758876640.818465 -0.06057996 -0.00451586 -0.04587615 0.00007763 0.00014374 0.00009374
1758876640.885119 -0.06537340 -0.00464130 -0.04567026 0.00009274 0.00012734 0.00008452
1758876640.951789 -0.06694624 -0.00471609 -0.04622865 0.00011493 0.00015604 0.00006941
1758876641.018458 -0.06980534 -0.00480442 -0.04605890 0.00012989 0.00017899 0.00008987
1758876641.085127 -0.07163438 -0.00486298 -0.04615444 0.00011841 0.00019450 0.00010125
1758876641.151796 -0.07672424 -0.00495501 -0.04585667 0.00011241 0.00019098 0.00009901
1758876641.218463 -0.07976262 -0.00505811 -0.04618782 0.00012490 0.00018137 0.00010518
1758876641.285131 -0.08303127 -0.00513713 -0.04616596 0.00013423 0.00019073 0.00010676
1758876641.351798 -0.08502549 -0.00518942 -0.04630801 0.00013903 0.00021677 0.00010020
1758876641.418465 -0.08819421 -0.00526630 -0.04629379 0.00014283 0.00022789 0.00010659
1758876641.485132 -0.09150198 -0.00534907 -0.04631528 0.00013908 0.00023032 0.00011353
1758876641.551798 -0.09503684 -0.00539652 -0.04632202 0.00014491 0.00024850 0.00010801
1758876641.618462 -0.10001695 -0.00546064 -0.04631723 0.00015966 0.00024625 0.00010486
1758876641.685128 -0.10201378 -0.00551780 -0.04655453 0.00016568 0.00025761 0.00010501
1758876641.751792 -0.10711046 -0.00553461 -0.04641592 0.00015199 0.00026860 0.00010684
1758876641.818457 -0.10953571 -0.00558848 -0.04652511 0.00013859 0.00024617 0.00011040
1758876641.885121 -0.11167809 -0.00563529 -0.04666277 0.00013870 0.00024165 0.00009774
1758876641.951796 -0.11392368 -0.00567104 -0.04667242 0.00014506 0.00025534 0.00008054
1758876642.018471 -0.11613911 -0.00570743 -0.04671435 0.00015508 0.00025587 0.00007905
1758876642.085144 -0.11818803 -0.00574531 -0.04682893 0.00015985 0.00026845 0.00007257
1758876642.151818 -0.12024567 -0.00577386 -0.04685245 0.00014755 0.00029084 0.00007274
1758876642.218492 -0.12228021 -0.00584212 -0.04689901 0.00013135 0.00029439 0.00008257
1758876642.285166 -0.12484822 -0.00584654 -0.04678100 0.00011772 0.00029786 0.00008360
1758876642.351839 -0.12721053 -0.00584972 -0.04687207 0.00011950 0.00032345 0.00009503
1758876642.418512 -0.12977357 -0.00587747 -0.04684202 0.00013519 0.00033105 0.00010738
1758876642.485185 -0.13934517 -0.00576497 -0.04677978 0.00013730 0.00031694 0.00011241
1758876642.551857 -0.14956348 -0.00569828 -0.04693672 0.00014958 0.00031619 0.00011103
1758876642.618529 -0.16316557 -0.00554490 -0.04691312 0.00015217 0.00029898 0.00011393
1758876642.685201 -0.16601275 -0.00554665 -0.04709241 0.00015951 0.00029604 0.00011444
1758876642.751873 -0.17802067 -0.00533492 -0.04701897 0.00016322 0.00030287 0.00011003
1758876642.818544 -0.19066764 -0.00527718 -0.04712080 0.00015026 0.00030036 0.00011268
1758876642.885216 -0.19321326 -0.00529503 -0.04727840 0.00014479 0.00030215 0.00011036
1758876642.951888 -0.20678181 -0.00495368 -0.04706139 0.00014455 0.00029907 0.00010096
1758876643.018561 -0.20863805 -0.00505184 -0.04747583 0.00014174 0.00029909 0.00010926
1758876643.085234 -0.21133873 -0.00506278 -0.04731832 0.00016207 0.00030819 0.00011358
1758876643.151906 -0.21272661 -0.00505388 -0.04730386 0.00017274 0.00031843 0.00010835
1758876643.218579 -0.21573747 -0.00504930 -0.04726474 0.00016895 0.00030900 0.00011212
1758876643.285251 -0.22047798 -0.00505443 -0.04725526 0.00016220 0.00030267 0.00012008
1758876643.351923 -0.23547459 -0.00463227 -0.04707209 0.00015006 0.00029731 0.00012852
1758876643.418593 -0.23828404 -0.00467153 -0.04733821 0.00015804 0.00029595 0.00012922
1758876643.485265 -0.24062568 -0.00473765 -0.04741291 0.00016140 0.00031404 0.00012531
1758876643.551936 -0.25358873 -0.00458902 -0.04718491 0.00016222 0.00032618 0.00012019
1758876643.618607 -0.26730259 -0.00425760 -0.04709791 0.00017062 0.00032592 0.00012129
1758876643.685277 -0.27043998 -0.00422615 -0.04722047 0.00017273 0.00032816 0.00012406
1758876643.751948 -0.27321637 -0.00423700 -0.04727960 0.00016882 0.00033950 0.00012275
1758876643.818618 -0.27817292 -0.00420634 -0.04717491 0.00016841 0.00034367 0.00012584
1758876643.885287 -0.29024655 -0.00395268 -0.04710691 0.00016994 0.00034425 0.00013116
1758876643.951962 -0.29310814 -0.00393158 -0.04718618 0.00018123 0.00036134 0.00012598
1758876644.018637 -0.31204105 -0.00321089 -0.04680003 0.00018601 0.00035987 0.00011955
1758876644.085312 -0.31536223 -0.00317726 -0.04697313 0.00018119 0.00035477 0.00011973
1758876644.151987 -0.31888777 -0.00308347 -0.04694042 0.00018457 0.00036118 0.00010853
1758876644.218661 -0.32145657 -0.00310489 -0.04703370 0.00019023 0.00036859 0.00010466
1758876644.285335 -0.32400043 -0.00311632 -0.04701005 0.00019906 0.00037458 0.00010960
1758876644.352009 -0.33853908 -0.00249636 -0.04669333 0.00020488 0.00037368 0.00010685
1758876644.418683 -0.35326009 -0.00206848 -0.04655067 0.00019546 0.00036028 0.00010301
1758876644.485356 -0.35618983 -0.00208273 -0.04667105 0.00019486 0.00035610 0.00010344
1758876644.552030 -0.35864966 -0.00210191 -0.04670026 0.00019867 0.00035513 0.00010452
1758876644.618704 -0.36043268 -0.00221024 -0.04676412 0.00019988 0.00036034 0.00010586
1758876644.685377 -0.36575248 -0.00218503 -0.04650873 0.00020913 0.00035848 0.00008109
1758876644.752049 -0.36646580 -0.00238336 -0.04686397 0.00020373 0.00037038 0.00002031
1758876644.818722 -0.36782423 -0.00243620 -0.04676383 0.00020863 0.00041617 -0.00008017
1758876644.885395 -0.36728130 -0.00260815 -0.04698050 0.00021098 0.00043518 -0.00007882
1758876644.952071 -0.36895039 -0.00249386 -0.04673280 0.00022001 0.00044500 -0.00007045
1758876645.018747 -0.37086488 -0.00239960 -0.04669685 0.00022396 0.00044114 -0.00006281
1758876645.085423 -0.37223174 -0.00242652 -0.04675279 0.00022183 0.00041897 -0.00005642
1758876645.152098 -0.37310267 -0.00245779 -0.04679361 0.00021773 0.00039758 -0.00005780
1758876645.218773 -0.37417320 -0.00252728 -0.04676294 0.00021514 0.00038652 -0.00005324
1758876645.285448 -0.37025110 -0.00321274 -0.04716290 0.00020778 0.00038115 -0.00005309
1758876645.352123 -0.36996414 -0.00338345 -0.04694649 0.00021713 0.00037935 -0.00006223
1758876645.418798 -0.36674683 -0.00399423 -0.04716142 0.00021747 0.00037481 -0.00006415
